strategy,removed_stations,remaining_stations,components,largest_component_nodes,largest_component_share_of_remaining,serviceable_share_of_original
weighted_degree,14,53.0,9.0,23.0,0.4339622641509434,0.34328358208955223
weighted_degree,15,52.0,11.0,13.0,0.25,0.19402985074626866
pagerank,0,67.0,1.0,67.0,1.0,1.0
pagerank,1,66.0,2.0,39.0,0.5909090909090909,0.582089552238806
pagerank,2,65.0,2.0,38.0,0.5846153846153846,0.5671641791044776
pagerank,3,64.0,3.0,33.0,0.515625,0.4925373134328358
pagerank,4,63.0,3.0,32.0,0.5079365079365079,0.47761194029850745
pagerank,5,62.0,5.0,32.0,0.5161290322580645,0.47761194029850745
pagerank,6,61.0,8.0,32.0,0.5245901639344263,0.47761194029850745
pagerank,7,60.0,10.0,18.0,0.3,0.26865671641791045
pagerank,8,59.0,12.0,18.0,0.3050847457627119,0.26865671641791045
pagerank,9,58.0,13.0,14.0,0.2413793103448276,0.208955223880597
pagerank,10,57.0,13.0,14.0,0.24561403508771928,0.208955223880597
pagerank,11,56.0,15.0,8.0,0.14285714285714285,0.11940298507462686
pagerank,12,55.0,15.0,8.0,0.14545454545454545,0.11940298507462686
pagerank,13,54.0,15.0,8.0,0.14814814814814814,0.11940298507462686
pagerank,14,53.0,15.0,8.0,0.1509433962264151,0.11940298507462686
pagerank,15,52.0,15.0,8.0,0.15384615384615385,0.11940298507462686
betweenness,0,67.0,1.0,67.0,1.0,1.0
betweenness,1,66.0,2.0,39.0,0.5909090909090909,0.582089552238806
betweenness,2,65.0,2.0,38.0,0.5846153846153846,0.5671641791044776
betweenness,3,64.0,4.0,32.0,0.5,0.47761194029850745
betweenness,4,63.0,6.0,32.0,0.5079365079365079,0.47761194029850745
betweenness,5,62.0,7.0,23.0,0.3709677419354839,0.34328358208955223
betweenness,6,61.0,9.0,23.0,0.3770491803278688,0.34328358208955223
betweenness,7,60.0,9.0,23.0,0.38333333333333336,0.34328358208955223
betweenness,8,59.0,8.0,23.0,0.3898305084745763,0.34328358208955223
betweenness,9,58.0,9.0,18.0,0.3103448275862069,0.26865671641791045
betweenness,10,57.0,11.0,18.0,0.3157894736842105,0.26865671641791045
betweenness,11,56.0,14.0,16.0,0.2857142857142857,0.23880597014925373
betweenness,12,55.0,15.0,14.0,0.2545454545454545,0.208955223880597
betweenness,13,54.0,15.0,14.0,0.25925925925925924,0.208955223880597
betweenness,14,53.0,16.0,9.0,0.16981132075471697,0.13432835820895522
betweenness,15,52.0,17.0,7.0,0.1346153846153846,0.1044776119402985
articulation_priority,0,67.0,1.0,67.0,1.0,1.0
articulation_priority,1,66.0,2.0,33.0,0.5,0.4925373134328358
articulation_priority,2,65.0,4.0,33.0,0.5076923076923077,0.4925373134328358
articulation_priority,3,64.0,5.0,27.0,0.421875,0.40298507462686567
articulation_priority,4,63.0,7.0,27.0,0.42857142857142855,0.40298507462686567
articulation_priority,5,62.0,9.0,27.0,0.43548387096774194,0.40298507462686567
articulation_priority,6,61.0,9.0,27.0,0.4426229508196721,0.40298507462686567
articulation_priority,7,60.0,11.0,24.0,0.4,0.3582089552238806
articulation_priority,8,59.0,12.0,24.0,0.4067796610169492,0.3582089552238806
articulation_priority,9,58.0,15.0,17.0,0.29310344827586204,0.2537313432835821
articulation_priority,10,57.0,16.0,17.0,0.2982456140350877,0.2537313432835821
articulation_priority,11,56.0,17.0,17.0,0.30357142857142855,0.2537313432835821
articulation_priority,12,55.0,17.0,17.0,0.3090909090909091,0.2537313432835821
articulation_priority,13,54.0,17.0,17.0,0.3148148148148148,0.2537313432835821
articulation_priority,14,53.0,17.0,17.0,0.32075471698113206,0.2537313432835821
articulation_priority,15,52.0,17.0,16.0,0.3076923076923077,0.23880597014925373
random_mean,0,67.0,1.0,67.0,1.0,1.0
random_mean,1,66.0,1.258,64.314,0.9744545454545455,0.9599104477611938
random_mean,2,65.0,1.51,61.856,0.9516307692307694,0.9232238805970149
random_mean,3,64.0,1.818,59.102,0.92346875,0.8821194029850745
random_mean,4,63.0,2.188,56.54,0.8974603174603176,0.8438805970149253
random_mean,5,62.0,2.59,53.574,0.8640967741935486,0.7996119402985076
random_mean,6,61.0,2.978,51.214,0.8395737704918033,0.7643880597014925
random_mean,7,60.0,3.422,48.488,0.8081333333333334,0.7237014925373134
random_mean,8,59.0,3.814,46.188,0.7828474576271186,0.6893731343283582
random_mean,9,58.0,4.29,43.63,0.7522413793103447,0.6511940298507464
random_mean,10,57.0,4.734,41.162,0.722140350877193,0.6143582089552239
random_mean,11,56.0,5.162,39.162,0.6993214285714285,0.5845074626865672
random_mean,12,55.0,5.556,37.266,0.6775636363636363,0.5562089552238806
random_mean,13,54.0,5.962,35.354,0.6547037037037037,0.5276716417910448
random_mean,14,53.0,6.412,33.23,0.6269811320754716,0.4959701492537314
random_mean,15,52.0,6.91,31.17,0.599423076923077,0.4652238805970149
