stop_id,stop_name,region,metro,lat,lon,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,approx_harmonic,in_largest_component
13103,קניון עזריאלי/דרך מנחם בגין,Center,Tel Aviv,32.074592,34.790584,10698,19,0.0006237279233142932,21396.0,9,10,10698.0,10698.0,0.00016276831643466762,0.0008279323195975349,3994.7430891635945,True
10775,גשר המיתרים/שד' הרצל,Jerusalem,Jerusalem,31.787162,35.199533,9490,37,0.001214628061190992,18976.0,24,13,9486.0,9490.0,0.0001769290502504964,0.016613779250713834,4404.570294448122,True
10716,צומת רמות/גולדה,Jerusalem,Jerusalem,31.808253,35.204001,8696,40,0.001313111417503775,17392.0,17,23,8696.0,8696.0,0.00019085868154620093,0.010076645825469894,4299.698204953036,True
12910,דרך נמיר/יהודה המכבי,Center,Tel Aviv,32.095376,34.794137,8408,10,0.0003282778543759438,16816.0,3,7,8408.0,8408.0,0.00017957777717058263,0.0013473422888087346,3764.942104662499,True
13358,סמינר הקיבוצים/דרך נמיר,Center,Tel Aviv,32.101886,34.792779,7890,21,0.000689383494189482,15780.0,10,11,7890.0,7890.0,0.00020216363530089582,0.002775328962226488,3747.7914985880175,True
13120,דרך זאב ז'בוטינסקי/מכון מור,Center,Tel Aviv,32.09139,34.824447,7393,9,0.00029545006893834944,14786.0,3,6,7393.0,7393.0,0.00011175274954611452,0.00016568633946934848,3099.904898182508,True
13206,קריית הממשלה/דרך מנחם בגין,Center,Tel Aviv,32.07238,34.789654,7193,10,0.0003282778543759438,14386.0,6,4,7193.0,7193.0,0.00010708025254907788,6.290748372363629e-05,3550.9404089753716,True
10790,צומת רמות/גולדה,Jerusalem,Jerusalem,31.809649,35.204075,7679,31,0.0010176613485654259,14154.0,24,7,7679.0,6475.0,0.00013953045253689737,0.013753701267167531,4385.761245457383,True
13067,דרך נמיר/יהודה המכבי,Center,Tel Aviv,32.095157,34.794466,6824,8,0.00026262228350075505,13648.0,3,5,6824.0,6824.0,0.00011492148682961932,0.0004560552108949241,3648.564286659122,True
48363,ת.רק''ל יהודית/דרך מנחם בגין,Center,Tel Aviv,32.069627,34.787954,6805,8,0.00026262228350075505,13610.0,4,4,6805.0,6805.0,0.0001206687111194153,0.00017822570171742373,3818.541939028896,True
10514,ביטוח לאומי,Jerusalem,Jerusalem,31.784519,35.200768,6739,7,0.00022979449806316066,13478.0,3,4,6739.0,6739.0,5.464150337223361e-05,6.087152843560903e-05,3870.0778871200205,True
13322,המסגר/הרכב,Center,Tel Aviv,32.06366,34.78558,6712,27,0.0008863502068150482,13424.0,19,8,6712.0,6712.0,0.00016693543138732712,0.0010081587670816143,3959.4886541332385,True
8636,גולדה/שלמה הלוי,Jerusalem,Jerusalem,31.8003,35.208257,6712,16,0.0005252445670015101,13156.0,8,8,6712.0,6444.0,9.587934197970624e-05,0.007003885527652168,4380.572027691488,True
9959,מסוף הר נוף/כנפי נשרים,Jerusalem,Jerusalem,31.78719,35.180668,8850,9,0.00029545006893834944,12770.0,5,4,6053.0,6717.0,9.854972559162192e-05,0.00031568634328682244,3365.4211827168488,True
13207,ת.רק''ל בן גוריון/דרך ז'בוטינסקי,Center,Tel Aviv,32.090946,34.82339,6366,8,0.00026262228350075505,12732.0,4,4,6366.0,6366.0,9.177257641911056e-05,3.485924295657955e-05,3095.8089570903094,True
