stage,expected_folder,found_folder,present,n_tables,n_figures,last_modified
00,00_setup_and_data,00_setup_and_data,True,5,3,2026-07-21 08:35
01,01_data_preparation,01_data_preparation,True,7,4,2026-07-21 08:36
02,02_graph_construction,02_graph_construction,True,4,2,2026-07-21 09:03
03,03_descriptive_analysis,03_descriptive_analysis,True,7,5,2026-07-21 18:20
04,04_centrality_analysis,04_centrality_analysis,True,8,9,2026-07-21 09:04
05,05_critical_station_isolation,05_critical_station_isolation,True,2,2,2026-07-21 08:39
06,06_robustness_analysis,06_robustness_analysis,True,4,3,2026-07-21 08:41
07,07_regional_comparison,07_regional_comparison,True,5,6,2026-07-21 08:42
08,08_socioeconomic_equity,08_socioeconomic_equity,True,9,6,2026-07-21 09:04
09,09_community_detection,09_community_detection,True,6,4,2026-07-21 08:47
10,10_network_model_comparison,10_network_model_comparison,True,4,3,2026-07-21 08:46
11,11_rail_network_analysis,11_rail_network_analysis,True,10,5,2026-07-21 08:42
12,12_rail_socioeconomic,12_rail_socioeconomic,True,6,4,2026-07-21 09:05
13,13_embeddings_link_prediction,13_embeddings_link_prediction,True,7,9,2026-07-21 09:07
14,14_multimodal_inventory,14_multimodal_inventory,True,8,3,2026-07-21 13:34
15,15_bus_network,15_bus_network,True,10,3,2026-07-21 13:35
16,16_lightrail_and_minor_modes,16_lightrail_and_minor_modes,True,10,7,2026-07-21 13:35
17,17_multimodal_transfer_hubs,17_multimodal_transfer_hubs,True,8,4,2026-07-21 18:20
18,18_travel_time_network,18_travel_time_network,True,7,6,2026-07-21 13:37
19,19_time_of_day_graphs,19_time_of_day_graphs,True,11,5,2026-07-21 13:38
20,20_dynamic_resilience,20_dynamic_resilience,True,11,5,2026-07-21 13:43
21,21_demand_weighted_criticality,21_demand_weighted_criticality,True,10,5,2026-07-21 13:44
22,22_rerouting_model,22_rerouting_model,True,5,4,2026-07-21 13:44
23,23_critical_station_lenses,23_critical_station_lenses,True,9,6,2026-07-21 13:45
