direction,stop_id,stop_name,region,metro,socio_cluster,population_served,stop_use_count,topological_rank,demand_weighted_rank,uniform_control_rank,rank_shift,rank_shift_vs_control
gains under demand PROXY,13913,רבי יהודה הנשיא/בארי,Center,Tel Aviv,2.0,1310.5646633113945,689,22490.0,1880.0,22636.0,20610.0,20756.0
gains under demand PROXY,23087,עולי הגרדום/החייל האלמוני,Center,Tel Aviv,6.0,946.024882843495,555,21295.0,1960.0,21501.0,19335.0,19541.0
gains under demand PROXY,22815,רבינוביץ'/לסקוב,Center,Tel Aviv,7.0,738.4846611343745,533,20815.0,1862.0,20906.0,18953.0,19044.0
gains under demand PROXY,25215,אליהו בן חור/אלוף רחבעם זאבי,Center,Tel Aviv,8.0,1833.0473094554172,1130,20769.0,1891.0,20576.0,18878.0,18685.0
gains under demand PROXY,29111,לוס אנג'לס/סיני,South,Periphery,4.0,368.4023952825889,106,20556.0,1849.0,20768.0,18707.0,18919.0
gains under demand PROXY,22621,מרכז סאדאב/רבינוביץ,Center,Tel Aviv,7.0,592.6799525949964,533,20472.0,1770.0,20490.0,18702.0,18720.0
gains under demand PROXY,9907,דרך הר הזיתים/נשאשיבי,Jerusalem,Jerusalem,2.0,319.3295558862729,513,20464.0,1848.0,20161.0,18616.0,18313.0
gains under demand PROXY,43393,אבא הלל סילבר/הארי טרומן,Jerusalem,Jerusalem,2.0,392.29382597831017,1975,19826.0,1767.0,20118.0,18059.0,18351.0
gains under demand PROXY,25290,רמ''א/השדרה,Center,Tel Aviv,7.0,171.18304147177764,212,19567.0,1528.0,19578.0,18039.0,18050.0
gains under demand PROXY,15366,היוצרים/המסגר,Center,Tel Aviv,6.0,387.4486364404775,820,19433.0,1456.0,19429.0,17977.0,17973.0
gains under demand PROXY,9842,עולי הגרדום/דב גרונר,Jerusalem,Jerusalem,5.0,289.7025036155318,1604,19269.0,1408.0,19246.0,17861.0,17838.0
gains under demand PROXY,9508,שטרן ג',Jerusalem,Jerusalem,3.0,260.3792514464747,874,19124.0,1414.0,19213.0,17710.0,17799.0
gains under demand PROXY,40533,משה פלד/משה סנה,Center,Tel Aviv,8.0,904.0944574395143,508,19391.0,1685.0,19649.0,17706.0,17964.0
gains under demand PROXY,13896,ביה''ס חורב/עוזיאל,Center,Tel Aviv,7.0,948.5666910667403,1322,18805.0,1240.0,1729.0,17565.0,489.0
gains under demand PROXY,10166,חיל ההנדסה/שבטי ישראל,Jerusalem,Jerusalem,1.0,683.1269653124662,1307,18681.0,1336.0,17737.0,17345.0,16401.0
gains under demand PROXY,13993,הדר יוסף/קהילת ורשה,Center,Tel Aviv,8.0,490.44051705511606,669,18494.0,1273.0,18646.0,17221.0,17373.0
gains under demand PROXY,24407,ויצמן/גייסות השריון,Center,Tel Aviv,7.0,404.49860151305865,589,19078.0,1863.0,18223.0,17215.0,16360.0
gains under demand PROXY,19427,שדרות מעלה יצחק/כרכום,North,Periphery,6.0,121.12395628257704,1207,18782.0,1614.0,18937.0,17168.0,17323.0
gains under demand PROXY,13793,שד' ששת הימים/תקוע,Center,Tel Aviv,6.0,972.7721682361691,1972,19007.0,1969.0,19083.0,17038.0,17114.0
gains under demand PROXY,14034,קהילות יעקב/הר סיני,Center,Tel Aviv,2.0,1443.3366675306233,1102,18409.0,1447.0,19118.0,16962.0,17671.0
gains under demand PROXY,23557,התזמורת/החצוצרה,Center,Tel Aviv,7.0,637.3812005057982,480,18048.5,1142.0,18076.5,16906.5,16934.5
gains under demand PROXY,536,פרופסור אלברט איינשטיין/צ.פ. חיות,Center,Tel Aviv,5.0,496.0821195345019,1228,18441.0,1548.0,19077.0,16893.0,17529.0
gains under demand PROXY,48561,הירקונים/יונה גרין,Center,Tel Aviv,6.0,721.7548631007887,270,18654.0,1793.0,18998.0,16861.0,17205.0
gains under demand PROXY,9559,אוסישקין/בצלאל,Jerusalem,Jerusalem,6.0,545.9774545223434,743,17854.0,1151.0,18129.0,16703.0,16978.0
gains under demand PROXY,26799,חברון/נתיב תאנה,South,Periphery,2.0,409.1298668929834,1492,17626.0,1005.0,17715.0,16621.0,16710.0
loses under demand PROXY,17053,תיכון אורט,North,Haifa,,0.0,782,718.0,28840.0,4024.0,-28122.0,-24816.0
loses under demand PROXY,3703,צומת אלמחרקה,North,Haifa,,0.0,880,740.0,28840.0,4220.0,-28100.0,-24620.0
loses under demand PROXY,38558,מצפה כרמל,North,Haifa,,0.0,98,934.5,28840.0,8725.5,-27905.5,-20114.5
loses under demand PROXY,38556,בי''ס טכנולוגי,North,Haifa,,0.0,98,979.0,28840.0,10407.5,-27861.0,-18432.5
